date,stock
2023-01-01,102
2023-01-02,146
2023-01-03,69
2023-01-04,125
2023-01-05,118
2023-01-06,82
2023-01-07,145
2023-01-08,153
2023-01-09,140
2023-01-10,137
2023-01-11,151
2023-01-12,168
2023-01-13,97
2023-01-14,72
2023-01-15,94
2023-01-16,129
2023-01-17,82
2023-01-18,163
2023-01-19,105
2023-01-20,114
2023-01-21,80
2023-01-22,146
2023-01-23,145
2023-01-24,102
2023-01-25,119
2023-01-26,166
2023-01-27,144
2023-01-28,107
2023-01-29,173
2023-01-30,133
2023-01-31,172
2023-02-01,142
2023-02-02,120
2023-02-03,170
2023-02-04,136
2023-02-05,151
2023-02-06,87
2023-02-07,137
2023-02-08,135
2023-02-09,118
2023-02-10,133
2023-02-11,119
2023-02-12,123
2023-02-13,133
2023-02-14,77
2023-02-15,129
2023-02-16,89
2023-02-17,100
2023-02-18,153
2023-02-19,116
2023-02-20,91
2023-02-21,81
2023-02-22,164
2023-02-23,137
2023-02-24,94
2023-02-25,90
2023-02-26,166
2023-02-27,126
2023-02-28,78
2023-03-01,155
2023-03-02,166
2023-03-03,136
2023-03-04,142
2023-03-05,115
2023-03-06,78
2023-03-07,117
2023-03-08,109
2023-03-09,151
2023-03-10,154
2023-03-11,108
2023-03-12,127
2023-03-13,80
2023-03-14,76
2023-03-15,77
2023-03-16,122
2023-03-17,70
2023-03-18,123
2023-03-19,158
2023-03-20,131
2023-03-21,81
2023-03-22,148
2023-03-23,101
2023-03-24,91
2023-03-25,131
2023-03-26,116
2023-03-27,155
2023-03-28,72
2023-03-29,158
2023-03-30,115
2023-03-31,84
2023-04-01,141
2023-04-02,149
2023-04-03,157
2023-04-04,134
2023-04-05,116
2023-04-06,159
2023-04-07,158
2023-04-08,162
2023-04-09,137
2023-04-10,104
2023-04-11,105
2023-04-12,171
2023-04-13,140
2023-04-14,126
2023-04-15,114
2023-04-16,95
2023-04-17,128
2023-04-18,143
2023-04-19,166
2023-04-20,146
2023-04-21,81
2023-04-22,160
2023-04-23,69
2023-04-24,73
2023-04-25,152
2023-04-26,130
2023-04-27,74
2023-04-28,148
2023-04-29,77
2023-04-30,100
2023-05-01,105
2023-05-02,102
2023-05-03,75
2023-05-04,113
2023-05-05,95
2023-05-06,74
2023-05-07,135
2023-05-08,130
2023-05-09,65
2023-05-10,92
2023-05-11,90
2023-05-12,109
2023-05-13,87
2023-05-14,126
2023-05-15,157
2023-05-16,111
2023-05-17,168
2023-05-18,108
2023-05-19,146
2023-05-20,154
2023-05-21,95
2023-05-22,120
2023-05-23,153
2023-05-24,102
2023-05-25,133
2023-05-26,53
2023-05-27,50
2023-05-28,53
2023-05-29,138
2023-05-30,59
2023-05-31,71
2023-06-01,54
2023-06-02,123
2023-06-03,58
2023-06-04,132
2023-06-05,88
2023-06-06,127
2023-06-07,98
2023-06-08,105
2023-06-09,137
2023-06-10,96
2023-06-11,135
2023-06-12,40
2023-06-13,128
2023-06-14,52
2023-06-15,39
2023-06-16,69
2023-06-17,51
2023-06-18,60
2023-06-19,38
2023-06-20,61
2023-06-21,104
2023-06-22,88
2023-06-23,115
2023-06-24,57
2023-06-25,92
2023-06-26,73
2023-06-27,72
2023-06-28,84
2023-06-29,79
2023-06-30,27
2023-07-01,54
2023-07-02,57
2023-07-03,68
2023-07-04,109
2023-07-05,54
2023-07-06,85
2023-07-07,94
2023-07-08,116
2023-07-09,110
2023-07-10,84
2023-07-11,119
2023-07-12,19
2023-07-13,45
2023-07-14,76
2023-07-15,87
2023-07-16,9
2023-07-17,81
2023-07-18,80
2023-07-19,31
2023-07-20,11
2023-07-21,67
2023-07-22,42
2023-07-23,97
2023-07-24,53
2023-07-25,47
2023-07-26,31
2023-07-27,83
2023-07-28,58
2023-07-29,30
2023-07-30,92
2023-07-31,88
2023-08-01,54
2023-08-02,59
2023-08-03,59
2023-08-04,48
2023-08-05,6
2023-08-06,35
2023-08-07,-3
2023-08-08,-6
2023-08-09,47
2023-08-10,71
2023-08-11,45
2023-08-12,-7
2023-08-13,-2
2023-08-14,93
2023-08-15,52
2023-08-16,88
2023-08-17,98
2023-08-18,100
2023-08-19,9
2023-08-20,27
2023-08-21,12
2023-08-22,61
2023-08-23,54
2023-08-24,98
2023-08-25,42
2023-08-26,83
2023-08-27,42
2023-08-28,75
2023-08-29,67
2023-08-30,83
2023-08-31,68
2023-09-01,26
2023-09-02,44
2023-09-03,29
2023-09-04,73
2023-09-05,98
2023-09-06,74
2023-09-07,90
2023-09-08,14
2023-09-09,19
2023-09-10,95
2023-09-11,70
2023-09-12,59
2023-09-13,74
2023-09-14,80
2023-09-15,88
2023-09-16,2
2023-09-17,24
2023-09-18,66
2023-09-19,47
2023-09-20,33
2023-09-21,107
2023-09-22,84
2023-09-23,38
2023-09-24,44
2023-09-25,115
2023-09-26,94
2023-09-27,73
2023-09-28,49
2023-09-29,58
2023-09-30,52
2023-10-01,92
2023-10-02,9
2023-10-03,21
2023-10-04,102
2023-10-05,71
2023-10-06,104
2023-10-07,67
2023-10-08,36
2023-10-09,48
2023-10-10,116
2023-10-11,66
2023-10-12,120
2023-10-13,29
2023-10-14,35
2023-10-15,110
2023-10-16,85
2023-10-17,23
2023-10-18,26
2023-10-19,73
2023-10-20,34
2023-10-21,88
2023-10-22,59
2023-10-23,55
2023-10-24,31
2023-10-25,125
2023-10-26,46
2023-10-27,78
2023-10-28,105
2023-10-29,29
2023-10-30,46
2023-10-31,54
2023-11-01,87
2023-11-02,61
2023-11-03,50
2023-11-04,104
2023-11-05,99
2023-11-06,67
2023-11-07,66
2023-11-08,115
2023-11-09,126
2023-11-10,114
2023-11-11,124
2023-11-12,46
2023-11-13,116
2023-11-14,43
2023-11-15,102
2023-11-16,83
2023-11-17,75
2023-11-18,59
2023-11-19,103
2023-11-20,84
2023-11-21,62
2023-11-22,125
2023-11-23,54
2023-11-24,94
2023-11-25,61
2023-11-26,47
2023-11-27,54
2023-11-28,80
2023-11-29,55
2023-11-30,38
2023-12-01,36
2023-12-02,96
2023-12-03,45
2023-12-04,61
2023-12-05,76
2023-12-06,105
2023-12-07,86
2023-12-08,118
2023-12-09,56
2023-12-10,65
2023-12-11,76
2023-12-12,90
2023-12-13,90
2023-12-14,41
2023-12-15,62
2023-12-16,61
2023-12-17,130
2023-12-18,55
2023-12-19,64
2023-12-20,127
2023-12-21,56
2023-12-22,97
2023-12-23,128
2023-12-24,100
2023-12-25,92
2023-12-26,74
2023-12-27,47
2023-12-28,32
2023-12-29,60
2023-12-30,92
2023-12-31,73
2024-01-01,46
2024-01-02,75
2024-01-03,127
2024-01-04,62
2024-01-05,124
2024-01-06,77
2024-01-07,41
2024-01-08,134
2024-01-09,70
2024-01-10,54
2024-01-11,121
2024-01-12,69
2024-01-13,74
2024-01-14,111
2024-01-15,110
2024-01-16,75
2024-01-17,112
2024-01-18,77
2024-01-19,104
2024-01-20,49
2024-01-21,109
2024-01-22,52
2024-01-23,81
2024-01-24,32
2024-01-25,35
2024-01-26,107
2024-01-27,70
2024-01-28,73
2024-01-29,83
2024-01-30,66
2024-01-31,40
2024-02-01,50
2024-02-02,61
2024-02-03,98
2024-02-04,30
2024-02-05,72
2024-02-06,36
2024-02-07,6
2024-02-08,97
2024-02-09,29
2024-02-10,47
2024-02-11,23
2024-02-12,58
2024-02-13,60
2024-02-14,46
2024-02-15,99
2024-02-16,44
2024-02-17,27
2024-02-18,102
2024-02-19,58
2024-02-20,36
2024-02-21,31
2024-02-22,17
2024-02-23,61
2024-02-24,3
2024-02-25,55
2024-02-26,34
2024-02-27,45
2024-02-28,25
2024-02-29,73
2024-03-01,15
2024-03-02,20
2024-03-03,17
2024-03-04,78
2024-03-05,88
2024-03-06,13
2024-03-07,95
2024-03-08,105
2024-03-09,71
2024-03-10,40
2024-03-11,99
2024-03-12,78
2024-03-13,97
2024-03-14,64
2024-03-15,40
2024-03-16,74
2024-03-17,81
2024-03-18,77
2024-03-19,37
2024-03-20,68
2024-03-21,69
2024-03-22,92
2024-03-23,58
2024-03-24,56
2024-03-25,41
2024-03-26,70
2024-03-27,11
2024-03-28,49
2024-03-29,57
2024-03-30,96
2024-03-31,4
2024-04-01,50
2024-04-02,54
2024-04-03,-1
2024-04-04,62
2024-04-05,-3
2024-04-06,88
2024-04-07,83
2024-04-08,38
2024-04-09,94
2024-04-10,48
2024-04-11,28
2024-04-12,38
2024-04-13,3
2024-04-14,5
2024-04-15,20
2024-04-16,9
2024-04-17,10
2024-04-18,51
2024-04-19,6
2024-04-20,84
2024-04-21,51
2024-04-22,43
2024-04-23,76
2024-04-24,76
2024-04-25,44
2024-04-26,9
2024-04-27,-6
2024-04-28,2
2024-04-29,-5
2024-04-30,47
2024-05-01,-10
2024-05-02,23
2024-05-03,83
2024-05-04,37
2024-05-05,76
2024-05-06,-10
2024-05-07,7
2024-05-08,51
2024-05-09,52
2024-05-10,47
2024-05-11,58
2024-05-12,8
2024-05-13,76
2024-05-14,48
2024-05-15,55
2024-05-16,9
2024-05-17,4
2024-05-18,44
2024-05-19,78
2024-05-20,47
2024-05-21,24
2024-05-22,77
2024-05-23,93
2024-05-24,70
2024-05-25,48
2024-05-26,97
2024-05-27,66
2024-05-28,77
2024-05-29,89
2024-05-30,33
2024-05-31,109
2024-06-01,105
2024-06-02,66
2024-06-03,98
2024-06-04,54
2024-06-05,120
2024-06-06,51
