date,stock
2023-01-01,96
2023-01-02,91
2023-01-03,92
2023-01-04,98
2023-01-05,103
2023-01-06,91
2023-01-07,91
2023-01-08,108
2023-01-09,90
2023-01-10,105
2023-01-11,96
2023-01-12,88
2023-01-13,90
2023-01-14,102
2023-01-15,100
2023-01-16,97
2023-01-17,104
2023-01-18,94
2023-01-19,111
2023-01-20,98
2023-01-21,105
2023-01-22,105
2023-01-23,108
2023-01-24,98
2023-01-25,102
2023-01-26,99
2023-01-27,95
2023-01-28,114
2023-01-29,110
2023-01-30,112
2023-01-31,95
2023-02-01,111
2023-02-02,96
2023-02-03,94
2023-02-04,110
2023-02-05,98
2023-02-06,113
2023-02-07,106
2023-02-08,107
2023-02-09,99
2023-02-10,102
2023-02-11,109
2023-02-12,115
2023-02-13,100
2023-02-14,101
2023-02-15,101
2023-02-16,105
2023-02-17,100
2023-02-18,109
2023-02-19,100
2023-02-20,117
2023-02-21,108
2023-02-22,111
2023-02-23,103
2023-02-24,109
2023-02-25,110
2023-02-26,111
2023-02-27,111
2023-02-28,110
2023-03-01,108
2023-03-02,105
2023-03-03,105
2023-03-04,98
2023-03-05,108
2023-03-06,103
2023-03-07,104
2023-03-08,108
2023-03-09,109
2023-03-10,101
2023-03-11,112
2023-03-12,100
2023-03-13,101
2023-03-14,106
2023-03-15,101
2023-03-16,112
2023-03-17,103
2023-03-18,96
2023-03-19,99
2023-03-20,95
2023-03-21,89
2023-03-22,105
2023-03-23,93
2023-03-24,92
2023-03-25,99
2023-03-26,95
2023-03-27,89
2023-03-28,91
2023-03-29,87
2023-03-30,99
2023-03-31,98
2023-04-01,91
2023-04-02,95
2023-04-03,97
2023-04-04,100
2023-04-05,95
2023-04-06,81
2023-04-07,88
2023-04-08,76
2023-04-09,96
2023-04-10,79
2023-04-11,96
2023-04-12,90
2023-04-13,85
2023-04-14,88
2023-04-15,82
2023-04-16,94
2023-04-17,86
2023-04-18,88
2023-04-19,83
2023-04-20,81
2023-04-21,93
2023-04-22,85
2023-04-23,79
2023-04-24,82
2023-04-25,95
2023-04-26,100
2023-04-27,97
2023-04-28,79
2023-04-29,98
2023-04-30,87
2023-05-01,94
2023-05-02,89
2023-05-03,89
2023-05-04,80
2023-05-05,88
2023-05-06,83
2023-05-07,88
2023-05-08,86
2023-05-09,83
2023-05-10,90
2023-05-11,74
2023-05-12,85
2023-05-13,81
2023-05-14,83
2023-05-15,80
2023-05-16,75
2023-05-17,74
2023-05-18,87
2023-05-19,74
2023-05-20,83
2023-05-21,82
2023-05-22,88
2023-05-23,76
2023-05-24,74
2023-05-25,86
2023-05-26,92
2023-05-27,76
2023-05-28,84
2023-05-29,91
2023-05-30,90
2023-05-31,85
2023-06-01,93
2023-06-02,92
2023-06-03,89
2023-06-04,92
2023-06-05,96
2023-06-06,85
2023-06-07,94
2023-06-08,84
2023-06-09,97
2023-06-10,87
2023-06-11,91
2023-06-12,102
2023-06-13,94
2023-06-14,98
2023-06-15,92
2023-06-16,96
2023-06-17,99
2023-06-18,96
2023-06-19,104
2023-06-20,95
2023-06-21,104
2023-06-22,96
2023-06-23,104
2023-06-24,107
2023-06-25,100
2023-06-26,102
2023-06-27,114
2023-06-28,112
2023-06-29,104
2023-06-30,113
2023-07-01,114
2023-07-02,115
2023-07-03,101
2023-07-04,95
2023-07-05,112
2023-07-06,105
2023-07-07,101
2023-07-08,109
2023-07-09,106
2023-07-10,96
2023-07-11,104
2023-07-12,107
2023-07-13,94
2023-07-14,94
2023-07-15,98
2023-07-16,103
2023-07-17,101
2023-07-18,106
2023-07-19,102
2023-07-20,108
2023-07-21,111
2023-07-22,100
2023-07-23,108
2023-07-24,113
2023-07-25,98
2023-07-26,115
2023-07-27,113
2023-07-28,108
2023-07-29,109
2023-07-30,97
2023-07-31,97
2023-08-01,103
2023-08-02,93
2023-08-03,106
2023-08-04,105
2023-08-05,108
2023-08-06,92
2023-08-07,96
2023-08-08,105
2023-08-09,112
2023-08-10,108
2023-08-11,103
2023-08-12,108
2023-08-13,105
2023-08-14,107
2023-08-15,100
2023-08-16,96
2023-08-17,109
2023-08-18,95
2023-08-19,90
2023-08-20,104
2023-08-21,89
2023-08-22,101
2023-08-23,100
2023-08-24,104
2023-08-25,91
2023-08-26,104
2023-08-27,89
2023-08-28,102
2023-08-29,85
2023-08-30,100
2023-08-31,101
2023-09-01,96
2023-09-02,102
2023-09-03,103
2023-09-04,88
2023-09-05,98
2023-09-06,93
2023-09-07,91
2023-09-08,95
2023-09-09,89
2023-09-10,90
2023-09-11,99
2023-09-12,95
2023-09-13,97
2023-09-14,85
2023-09-15,92
2023-09-16,103
2023-09-17,85
2023-09-18,89
2023-09-19,102
2023-09-20,101
2023-09-21,96
2023-09-22,96
2023-09-23,91
2023-09-24,94
2023-09-25,86
2023-09-26,95
2023-09-27,101
2023-09-28,88
2023-09-29,91
2023-09-30,88
2023-10-01,86
2023-10-02,96
2023-10-03,96
2023-10-04,89
2023-10-05,85
2023-10-06,100
2023-10-07,98
2023-10-08,90
2023-10-09,84
2023-10-10,101
2023-10-11,102
2023-10-12,101
2023-10-13,89
2023-10-14,88
2023-10-15,91
2023-10-16,99
2023-10-17,103
2023-10-18,96
2023-10-19,91
2023-10-20,100
2023-10-21,92
2023-10-22,88
2023-10-23,95
2023-10-24,93
2023-10-25,86
2023-10-26,93
2023-10-27,88
2023-10-28,86
2023-10-29,97
2023-10-30,97
2023-10-31,98
2023-11-01,106
2023-11-02,97
2023-11-03,93
2023-11-04,97
2023-11-05,89
2023-11-06,100
2023-11-07,92
2023-11-08,95
2023-11-09,92
2023-11-10,105
2023-11-11,108
2023-11-12,96
2023-11-13,97
2023-11-14,109
2023-11-15,107
2023-11-16,97
2023-11-17,103
2023-11-18,109
2023-11-19,111
2023-11-20,100
2023-11-21,103
2023-11-22,111
2023-11-23,96
2023-11-24,102
2023-11-25,95
2023-11-26,103
2023-11-27,109
2023-11-28,107
2023-11-29,94
2023-11-30,101
2023-12-01,113
2023-12-02,108
2023-12-03,102
2023-12-04,94
2023-12-05,109
2023-12-06,100
2023-12-07,102
2023-12-08,98
2023-12-09,100
2023-12-10,97
2023-12-11,92
2023-12-12,93
2023-12-13,95
2023-12-14,92
2023-12-15,98
2023-12-16,100
2023-12-17,107
2023-12-18,100
2023-12-19,101
2023-12-20,101
2023-12-21,98
2023-12-22,107
2023-12-23,92
2023-12-24,89
2023-12-25,103
2023-12-26,102
2023-12-27,100
2023-12-28,95
2023-12-29,91
2023-12-30,100
2023-12-31,103
2024-01-01,106
2024-01-02,97
2024-01-03,105
2024-01-04,95
2024-01-05,89
2024-01-06,99
2024-01-07,90
2024-01-08,102
2024-01-09,91
2024-01-10,102
2024-01-11,89
2024-01-12,90
2024-01-13,91
2024-01-14,82
2024-01-15,96
2024-01-16,84
2024-01-17,85
2024-01-18,102
2024-01-19,86
2024-01-20,100
2024-01-21,84
2024-01-22,95
2024-01-23,92
2024-01-24,99
2024-01-25,91
2024-01-26,84
2024-01-27,100
2024-01-28,101
2024-01-29,95
2024-01-30,97
2024-01-31,96
2024-02-01,89
2024-02-02,89
2024-02-03,107
2024-02-04,101
2024-02-05,97
2024-02-06,100
2024-02-07,92
2024-02-08,98
2024-02-09,109
2024-02-10,109
2024-02-11,112
2024-02-12,105
2024-02-13,96
2024-02-14,108
2024-02-15,98
2024-02-16,100
2024-02-17,112
2024-02-18,97
2024-02-19,105
2024-02-20,100
2024-02-21,98
2024-02-22,105
2024-02-23,103
2024-02-24,110
2024-02-25,92
2024-02-26,103
2024-02-27,102
2024-02-28,110
2024-02-29,99
2024-03-01,92
2024-03-02,106
2024-03-03,102
2024-03-04,103
2024-03-05,105
2024-03-06,95
2024-03-07,108
2024-03-08,96
2024-03-09,110
2024-03-10,97
2024-03-11,97
2024-03-12,96
2024-03-13,102
2024-03-14,112
2024-03-15,98
2024-03-16,101
2024-03-17,116
2024-03-18,113
2024-03-19,119
2024-03-20,116
2024-03-21,114
2024-03-22,120
2024-03-23,114
2024-03-24,122
2024-03-25,124
2024-03-26,115
2024-03-27,124
2024-03-28,125
2024-03-29,128
2024-03-30,129
2024-03-31,118
2024-04-01,112
2024-04-02,123
2024-04-03,116
2024-04-04,132
2024-04-05,125
2024-04-06,128
2024-04-07,129
2024-04-08,124
2024-04-09,133
2024-04-10,130
2024-04-11,140
2024-04-12,125
2024-04-13,128
2024-04-14,125
2024-04-15,133
2024-04-16,120
2024-04-17,126
2024-04-18,131
2024-04-19,134
2024-04-20,140
2024-04-21,130
2024-04-22,141
2024-04-23,140
2024-04-24,137
2024-04-25,139
2024-04-26,129
2024-04-27,134
2024-04-28,134
2024-04-29,124
2024-04-30,130
2024-05-01,135
2024-05-02,133
2024-05-03,138
2024-05-04,145
2024-05-05,137
2024-05-06,143
2024-05-07,136
2024-05-08,136
2024-05-09,135
2024-05-10,134
2024-05-11,136
2024-05-12,116
2024-05-13,126
2024-05-14,126
2024-05-15,134
2024-05-16,116
2024-05-17,116
2024-05-18,114
2024-05-19,115
2024-05-20,125
2024-05-21,130
2024-05-22,118
2024-05-23,129
2024-05-24,136
2024-05-25,121
2024-05-26,114
2024-05-27,119
2024-05-28,122
2024-05-29,129
2024-05-30,135
2024-05-31,133
2024-06-01,118
2024-06-02,128
2024-06-03,132
2024-06-04,135
2024-06-05,126
2024-06-06,127
2024-06-07,121
2024-06-08,124
2024-06-09,127
2024-06-10,122
2024-06-11,127
2024-06-12,126
2024-06-13,130
2024-06-14,138
2024-06-15,133
2024-06-16,129
2024-06-17,130
2024-06-18,140
2024-06-19,142
2024-06-20,138
2024-06-21,130
2024-06-22,134
2024-06-23,142
2024-06-24,140
2024-06-25,130
2024-06-26,131
2024-06-27,129
2024-06-28,133
2024-06-29,132
2024-06-30,134
2024-07-01,130
2024-07-02,136
2024-07-03,130
2024-07-04,128
2024-07-05,130
2024-07-06,131
2024-07-07,135
2024-07-08,133
2024-07-09,126
2024-07-10,115
2024-07-11,123
2024-07-12,117
2024-07-13,130
2024-07-14,124
2024-07-15,131
2024-07-16,119
2024-07-17,130
2024-07-18,133
2024-07-19,121
2024-07-20,126
2024-07-21,119
2024-07-22,126
2024-07-23,134
2024-07-24,116
2024-07-25,127
2024-07-26,111
2024-07-27,115
2024-07-28,120
2024-07-29,126
2024-07-30,128
2024-07-31,111
2024-08-01,109
2024-08-02,118
2024-08-03,127
2024-08-04,127
2024-08-05,127
2024-08-06,129
2024-08-07,117
2024-08-08,114
2024-08-09,112
2024-08-10,113
2024-08-11,109
2024-08-12,123
2024-08-13,108
2024-08-14,109
2024-08-15,113
2024-08-16,116
2024-08-17,121
2024-08-18,131
2024-08-19,131
2024-08-20,124
2024-08-21,113
2024-08-22,124
2024-08-23,131
2024-08-24,123
2024-08-25,129
2024-08-26,114
2024-08-27,118
2024-08-28,125
2024-08-29,122
2024-08-30,134
2024-08-31,127
2024-09-01,129
2024-09-02,132
2024-09-03,134
2024-09-04,122
2024-09-05,127
2024-09-06,129
2024-09-07,128
2024-09-08,135
2024-09-09,131
2024-09-10,139
2024-09-11,139
2024-09-12,130
2024-09-13,145
2024-09-14,126
2024-09-15,130
2024-09-16,127
2024-09-17,139
2024-09-18,126
2024-09-19,127
2024-09-20,127
2024-09-21,128
2024-09-22,124
2024-09-23,130
2024-09-24,133
2024-09-25,125
2024-09-26,132
2024-09-27,133
2024-09-28,131
2024-09-29,130
2024-09-30,123
2024-10-01,133
