date,stock
2020-01-05,96
2020-01-12,107
2020-01-19,103
2020-01-26,97
2020-02-02,92
2020-02-09,90
2020-02-16,103
2020-02-23,96
2020-03-01,95
2020-03-08,88
2020-03-15,90
2020-03-22,87
2020-03-29,84
2020-04-05,92
2020-04-12,86
2020-04-19,80
2020-04-26,78
2020-05-03,88
2020-05-10,89
2020-05-17,96
2020-05-24,87
2020-05-31,91
2020-06-07,90
2020-06-14,89
2020-06-21,95
2020-06-28,89
2020-07-05,96
2020-07-12,80
2020-07-19,82
2020-07-26,96
2020-08-02,82
2020-08-09,86
2020-08-16,85
2020-08-23,95
2020-08-30,81
2020-09-06,89
2020-09-13,91
2020-09-20,83
2020-09-27,76
2020-10-04,96
2020-10-11,91
2020-10-18,84
2020-10-25,90
2020-11-01,86
2020-11-08,94
2020-11-15,82
2020-11-22,92
2020-11-29,95
2020-12-06,82
2020-12-13,97
2020-12-20,88
2020-12-27,82
2021-01-03,78
2021-01-10,81
2021-01-17,83
2021-01-24,77
2021-01-31,92
2021-02-07,84
2021-02-14,72
2021-02-21,79
2021-02-28,72
2021-03-07,82
2021-03-14,85
2021-03-21,83
2021-03-28,74
2021-04-04,81
2021-04-11,76
2021-04-18,82
2021-04-25,78
2021-05-02,81
2021-05-09,79
2021-05-16,79
2021-05-23,77
2021-05-30,83
2021-06-06,79
2021-06-13,65
2021-06-20,71
2021-06-27,73
2021-07-04,65
2021-07-11,77
2021-07-18,71
2021-07-25,75
2021-08-01,83
2021-08-08,79
2021-08-15,71
2021-08-22,67
2021-08-29,67
2021-09-05,63
2021-09-12,67
2021-09-19,70
2021-09-26,69
2021-10-03,70
2021-10-10,67
2021-10-17,68
2021-10-24,67
2021-10-31,73
2021-11-07,61
2021-11-14,61
2021-11-21,74
2021-11-28,64
2021-12-05,60
2021-12-12,71
2021-12-19,68
2021-12-26,63
2022-01-02,59
2022-01-09,59
2022-01-16,62
2022-01-23,72
2022-01-30,71
2022-02-06,62
2022-02-13,60
2022-02-20,64
2022-02-27,73
2022-03-06,65
2022-03-13,69
2022-03-20,73
2022-03-27,74
2022-04-03,67
2022-04-10,72
2022-04-17,79
2022-04-24,69
2022-05-01,79
2022-05-08,83
2022-05-15,67
2022-05-22,66
2022-05-29,66
2022-06-05,73
2022-06-12,76
2022-06-19,74
2022-06-26,69
2022-07-03,78
2022-07-10,73
2022-07-17,83
2022-07-24,68
2022-07-31,78
2022-08-07,79
2022-08-14,74
2022-08-21,80
2022-08-28,81
2022-09-04,87
2022-09-11,79
2022-09-18,77
2022-09-25,73
2022-10-02,71
2022-10-09,90
2022-10-16,82
2022-10-23,76
2022-10-30,69
2022-11-06,72
2022-11-13,71
2022-11-20,72
2022-11-27,72
2022-12-04,68
2022-12-11,63
2022-12-18,80
2022-12-25,70
2023-01-01,70
